,const,Market,SMB,HML,RMW,CMA
AAPL,0.00031562395313640916,119.89924327804945,-5.466259688352787,-61.65353043888921,44.33298535311652,53.09654894267
MSFT,0.0003482387979598895,110.2557787926192,-34.3667442081231,-38.16777715598419,32.70057490036061,-21.241338651820087
NVDA,0.002201821312104965,190.50236992759923,-50.7868269921061,-75.74910935308306,0.10092484016358402,-28.277194045441565
GOOG,0.00041639534614705597,117.66980529574202,-26.435941326536213,-20.113358709255852,24.455229012650175,-41.98340000210558
META,0.0006071214849005877,138.60459835906832,-27.306678855495846,-38.692226942407494,20.42218053762735,-63.35767276112449
TSLA,0.00116202004369553,147.00090456983952,16.85799606858198,-28.600626559335897,-69.39593087855225,-88.39319777515234
AMZN,0.00016548218784549876,123.79266964029343,-39.56078681878104,-11.359090313145149,-11.4570832248266,-91.64028096296988
JPM,0.00030245357416679945,101.02055157439003,-18.320111689828856,99.21112186632524,-22.33402462277426,-40.02012202774499
BAC,1.0635139868218641e-05,112.33823451412457,-8.338618250889999,132.71266837890315,-41.1432445942764,-61.29221114190176
XOM,0.0007279304352256549,84.67737236267774,-33.14083293902218,105.13281108206488,-70.02242796584211,39.73381102844579
CVX,0.00024184975649289465,84.45312314011817,-27.839009298971114,95.13241656876697,-52.36342997788476,26.755183228200316
WMT,0.0004383779860942674,47.24236883001891,-6.50173295118744,-8.130943067245294,27.447545872908073,18.98466985994385
TGT,-0.0003613496056751353,96.57562920777957,40.922302196185825,-0.7152329590317534,36.24340934095812,-0.6591051642084975
HD,9.837467025006474e-05,87.6610187366665,45.61710194856223,-19.055533679891603,66.0218223212816,3.061170502836092
NKE,-0.0008078143496861701,105.47405977063995,19.070758894797592,-16.557725697756332,33.940566763751825,-4.122275151693925
MCD,0.00010760507288971495,58.49706161542949,-11.037165875612082,-1.927897259441103,23.765035667416733,31.58350570921106
KO,-6.42095187770654e-05,53.19689670397036,-15.212799847526897,0.32794438968692446,33.91127583716668,30.678260145079697
PEP,-0.0001530863990453091,51.690583915483785,-22.248664443494924,-9.072345599603224,32.79905511425991,37.6038917316619
ORCL,0.0006477661160227818,102.86146202616926,-21.571630906162408,-2.779457132424634,42.29364725396027,7.421423126348096
